ID,Language_ID,Name,Description,Source
sout2986-suffix-pu-,sout2986,Suffix -pu-,,Okrand1977[223-230]
okan1243-suffix-m,okan1243,Suffix -m,,Dilts2006
oksa1245-prefixt-,oksa1245,Prefix t-,,Loughnane2009[238-241]
east2652-suffix-at-,east2652,Suffix -at-,,Mous2001;FufaTeso2009[77-98]
otom1300-prefixn-,otom1300,Prefix n-,,Palancar2004;Palancar2006
pagu1249-prefixma-,pagu1249,Prefix ma-,,Wimbish1991[34-36]
phal1254-suffix-ij-,phal1254,Suffix -íǰ-,,Liljegren2016[240-241]
enap1235-detransitivizer,enap1235,Detransitivizer,,Payne&Payne2013[333-339]
pare1272-suffix-oa,pare1272,Suffix -oa,,Brandão2014[247-254]
pila1245-setbpronouns,pila1245,Set B pronouns,,Vidal2001[177-214]
pima1248-prefixa-,pima1248,Prefix a-,,EstradaFernández2005
yauy1235-suffix-ku,yauy1235,Suffix -kU,,Shimelman2017[218-220]
vlax1238-suffix-uv-,vlax1238,Suffix -uv-,,"Wagner2012[136-137,203-204]"
vlax1238-reflexivepronoun,vlax1238,Reflexive pronoun,,Wagner2012[68-70]
sali1253-prefixk-,sali1253,Prefix k-,,Turner1987[139-149]
sali1253-suffix-a,sali1253,Suffix -aˀ,,Turner1987[223]
sand1273-suffix-tsi,sand1273,Suffix -ts'ì̥,,Steeman2012[155-167]
sand1273-suffix-tsi-,sand1273,Suffix -ts'ì-,,Steeman2012[155-167]
seme1247-prefixbr-,seme1247,Prefix  b(r)-,,"Kruspe2004[117-123,153-155]"
sere1260-suffix-u--oox-,sere1260,Suffix -u-/-oox-,,Faye&Mous2006
shek1244-suffix-a,shek1244,Suffix -a,,FufaTeso2009[135-147]
siwa1245-middleinflection,siwa1245,Middle inflection,,Onishi1994[265-294]
soma1255-suffix-at-,soma1255,Suffix -at-,,Saeed1995
taga1270-prefixmag-um-,taga1270,Prefix mag-/um-,,Nagaya2009
tama1365-prefixm--n-nvy-,tama1365,Prefix m-/-n-/nvy-,,Heath2005[471-481]
thul1246-suffix-si-,thul1246,Suffix -si-,,Lahaussois2016
toab1237-prefixkwai-,toab1237,Prefix kwai-,,Lichtenberk2008[860-887]
toba1269-setiipronouns,toba1269,Set II pronouns,,Messineo2002;Zurlo2016a;Zurlo2016b
tonk1249-prefixhe-,tonk1249,Prefix he-,,Hoijer1933-1938[42-44]
trio1238-detransitivizer,trio1238,Detransitivizer,,Meira1999[254-260]
mose1249-suffix-ti-,mose1249,Suffix -ti-,,Sakel2004[311-313];Sakel2007
mose1249-suffix-ki-,mose1249,Suffix -ki-,,Sakel2004[306-310];Sakel2007
tuvi1240-suffix-is-,tuvi1240,Suffix -Iš-,,Kuular2007
tuvi1240-suffix-in-,tuvi1240,Suffix -In-,,Kuular2007[1173-1174];Iskhakov&Pal’mbakh1961[288-289]
tzel1254-infix-j-,tzel1254,Infix -j-,,Polian2013[289-301]
udih1248-suffix-kpi-,udih1248,Suffix -kpi-,,"Nikolaeva&Tolskaya2001[303-305,590-591]"
udih1248-suffix-pta--kta-,udih1248,Suffix -ptA-/-ktA-,,"Nikolaeva&Tolskaya2001[303-305,590-591]"
urar1246-prefixne-,urar1246,Prefix ne-,,Olawsky2006[601-606]
nucl1328-objpro-ngn-,nucl1328,Obj. pro. -ngn-,,"Nordlinger1998[141-142,185,192-193]"
wara1294-middletemplate,wara1294,Middle template,,Döhler2016[197-204]
ward1246-suffix-yi-,ward1246,Suffix -yi-,,Merlan1994[189-191]
ware1253-subjobjprefixes,ware1253,Subj./obj. prefixes,,Donohue1999[44-45]
waru1264-suffix-gali-,waru1264,Suffix -gali-,,Tsunoda2006
waru1264-suffix-li-,waru1264,Suffix -li-,,Tsunoda2006
worr1237-suffix-ye-,worr1237,Suffix -ye-,,Clendon2014[405-419]
yakk1236-suffix-ca-,yakk1236,Suffix -ca-,,Schackow2015[303-307]
yapu1240-prefixd-,yapu1240,Prefix d-,,Wilson2017[369-371]
maru1253-prefixna-,maru1253,Prefix na-,,Barlow2018[388-399]
yeyi1239-suffix-uk-,yeyi1239,Suffix -uk-,,Seidel2008[246-247]
yeyi1239-suffix-aak-,yeyi1239,Suffix -aak-,,Seidel2008[251-252]
yuca1254-cvvcpattern,yuca1254,CVVC pattern,,MartínezCorripio&Maldonado2010
yuch1247-reflexivepronominalprefixes,yuch1247,Reflexive pronominal prefixes,,Linn2000[193-198]
yura1255-suffix-ta,yura1255,Suffix -tA,,vanGijn2010
zagh1240-verbclass1,zagh1240,Verb Class 1,,Jakobietal2004[47-49]
