ID,Parameter_ID,Name,Description,Map_Icon
oppositional-passantcrefl,syncretismpattern,PASS/ANTC/REFL,,
oppositional-passantcreflantp,syncretismpattern,PASS/ANTC/REFL/ANTP,,
oppositional-passantcreflrecp,syncretismpattern,PASS/ANTC/REFL/RECP,,
oppositional-passantcreflrecpantp,syncretismpattern,PASS/ANTC/REFL/RECP/ANTP,,
oppositional-passantcreflrecpfac,syncretismpattern,PASS/ANTC/REFL/RECP/FAC,,
oppositional-passantcreflrecpimp,syncretismpattern,PASS/ANTC/REFL/RECP/IMP,,
oppositional-passantcreflself,syncretismpattern,PASS/ANTC/REFL/SELF,,
oppositional-passantcreflselfantp,syncretismpattern,PASS/ANTC/REFL/SELF/ANTP,,
oppositional-passantcreflselfrecp,syncretismpattern,PASS/ANTC/REFL/SELF/RECP,,
oppositional-passantcreflselfrecpantp,syncretismpattern,PASS/ANTC/REFL/SELF/RECP/ANTP,,
oppositional-passantcreflselfrecpantpimpfac,syncretismpattern,PASS/ANTC/REFL/SELF/RECP/ANTP/IMP/FAC,,
oppositional-passantcreflselfrecpfac,syncretismpattern,PASS/ANTC/REFL/SELF/RECP/FAC,,
oppositional-passantcreflselfrecpimpfac,syncretismpattern,PASS/ANTC/REFL/SELF/RECP/IMP/FAC,,
oppositional-passfac,syncretismpattern,PASS/FAC,,
oppositional-passrecp,syncretismpattern,PASS/RECP,,
oppositional-passrefl,syncretismpattern,PASS/REFL,,
oppositional-passreflant,syncretismpattern,PASS/REFL/ANT,,
oppositional-passreflantp,syncretismpattern,PASS/REFL/ANTP,,
oppositional-passreflrecp,syncretismpattern,PASS/REFL/RECP,,
oppositional-passreflrecpantp,syncretismpattern,PASS/REFL/RECP/ANTP,,
oppositional-passreflself,syncretismpattern,PASS/REFL/SELF,,
oppositional-passreflselfantp,syncretismpattern,PASS/REFL/SELF/ANTP,,
oppositional-passreflselfrecp,syncretismpattern,PASS/REFL/SELF/RECP,,
oppositional-passreflselfrecpimp,syncretismpattern,PASS/REFL/SELF/RECP/IMP,,
oppositional-recp,syncretismpattern,RECP,,
oppositional-recpantp,syncretismpattern,RECP/ANTP,,
oppositional-refl,syncretismpattern,REFL,,
oppositional-reflrecp,syncretismpattern,REFL/RECP,,
oppositional-reflrecpantp,syncretismpattern,REFL/RECP/ANTP,,
oppositional-reflself,syncretismpattern,REFL/SELF,,
oppositional-reflselfrecp,syncretismpattern,REFL/SELF/RECP,,
oppositional-reflselfrecpantp,syncretismpattern,REFL/SELF/RECP/ANTP,,
other_opp_class-aspect,otheroppositionalfunctions,aspect,,
other_opp_class-aspectlowtrans,otheroppositionalfunctions,"aspect, lowered transitivity",,
other_opp_class-aspectlowtransother,otheroppositionalfunctions,"aspect, lowered transitivity, other",,
other_opp_class-aspectother,otheroppositionalfunctions,"aspect, other",,
other_opp_class-lowtrans,otheroppositionalfunctions,lowered transitivity,,
other_opp_class-other,otheroppositionalfunctions,other,,
passive-compl,passive,construction in complementary distribution,,
passive-compt,passive,construction in competition,,
passive-mid,passive,middle marker,,
passive-no,passive,no,,
reciprocal-compl,reciprocal,construction in complementary distribution,,
reciprocal-compt,reciprocal,construction in competition,,
reciprocal-mid,reciprocal,middle marker,,
reciprocal-no,reciprocal,no,,
reflexive-compl,reflexive,construction in complementary distribution,,
reflexive-compt,reflexive,construction in competition,,
reflexive-mid,reflexive,middle marker,,
reflexive-no,reflexive,no,,
selfbenefactive-mid,self-benefactive,middle marker,,
selfbenefactive-no,self-benefactive,no,,
source-norefl,diachronicsourcetype,non-reflexive voice marker,,
source-refl,diachronicsourcetype,reflexive,,
source-unknown,diachronicsourcetype,unknown,,
source_2-aspect,nonreflexivesourcetype,aspectual markers,,
source_2-lex,nonreflexivesourcetype,lexical source,,
source_2-nomverb,nonreflexivesourcetype,nominalizers/verbalizers ,,
source_2-plur,nonreflexivesourcetype,plurality markers,,
source_2-uncontr,nonreflexivesourcetype,marker of uncontrolled situations,,
source_2-voice,nonreflexivesourcetype,voice,,
type2-circumfix,strategy,circumfix,,
type2-cliticpronoun,strategy,clitic pronoun,,
type2-infix,strategy,infix,,
type2-numbervoice,strategy,number/voice,,
type2-objectpronoun,strategy,object pronoun,,
type2-objectpronouns,strategy,object pronouns,,
type2-personindex,strategy,person index,,
type2-personindexes,strategy,person indexes,,
type2-personnumbervoiceendings,strategy,person/number/voice endings,,
type2-personprefixes,strategy,person prefixes,,
type2-preaspiration,strategy,preaspiration,,
type2-prefix,strategy,prefix,,
type2-prefixvoweltemplate,strategy,prefix+vowel template,,
type2-preverb,strategy,preverb,,
type2-pronoun,strategy,pronoun,,
type2-reduplication,strategy,reduplication,,
type2-reflexivepronouns,strategy,reflexive pronouns,,
type2-subjobjindex,strategy,subject/object indexes,,
type2-suffix,strategy,suffix,,
type2-tamvoice,strategy,TAM/voice,,
type2-tamvoicepersonendings,strategy,TAM/voice/person endings,,
type2-verbtemplate,strategy,verb template,,
type2-vowellenghteninghightone,strategy,vowel lenghtening/high tone,,
